Region/Country/Area,Country/Area Name
1,"Total, all countries or areas"
8,Albania
9,Oceania
15,Northern Africa
20,Andorra
21,Northern America
30,Eastern Asia
34,Southern Asia
35,South-eastern Asia
36,Australia
40,Austria
53,Australia and New Zealand
56,Belgium
62,South-central Asia
70,Bosnia and Herzegovina
100,Bulgaria
112,Belarus
124,Canada
143,Central Asia
145,Western Asia
150,Europe
156,China
191,Croatia
196,Cyprus
199,LDCÂ§
202,Sub-Saharan Africa
203,Czechia
208,Denmark
233,Estonia
246,Finland
250,France
268,Georgia
276,Germany
292,Gibraltar
308,Grenada
344,"China, Hong Kong SAR"
348,Hungary
352,Iceland
356,India
372,Ireland
380,Italy
392,Japan
410,Republic of Korea
419,Latin America & the Caribbean
428,Latvia
432,LLDCs
438,Liechtenstein
440,Lithuania
442,Luxembourg
446,"China, Macao SAR"
470,Malta
484,Mexico
492,Monaco
498,Republic of Moldova
499,Montenegro
528,Netherlands (Kingdom of the)
554,New Zealand
578,Norway
616,Poland
620,Portugal
642,Romania
643,Russian Federation
674,San Marino
688,Serbia
703,Slovakia
705,Slovenia
722,SIDS
724,Spain
752,Sweden
756,Switzerland
804,Ukraine
826,United Kingdom
840,United States of America