Year,Region/Country/Area,Ratio of girls to boys in lower secondary education,Ratio of girls to boys in primary education,Ratio of girls to boys in upper secondary education
1995,8,,0.97,
1995,36,1.02,1.0,0.97
1995,40,1.0,0.99,0.89
1995,53,1.02,1.0,0.97
1995,56,1.12,0.99,1.04
1995,100,0.91,0.96,1.04
1995,112,0.95,0.94,
1995,124,0.99,0.99,1.01
1995,156,0.87,0.96,
1995,191,,0.98,
1995,203,1.0,1.0,1.05
1995,208,1.0,1.01,1.04
1995,233,,0.98,
1995,246,1.02,1.0,1.21
1995,250,0.99,0.98,0.99
1995,268,,0.94,
1995,276,1.01,0.99,0.9
1995,308,,0.92,
1995,344,,1.01,
1995,348,0.98,0.98,1.08
1995,352,1.0,1.0,0.96
1995,356,0.7,0.81,0.56
1995,372,1.02,1.0,1.09
1995,380,0.95,0.98,1.02
1995,392,0.99,1.0,1.03
1995,410,0.99,1.0,0.99
1995,428,0.98,0.94,1.15
1995,440,,0.94,
1995,442,1.06,,0.96
1995,470,,0.98,
1995,484,0.98,0.96,0.97
1995,528,0.98,0.98,0.92
1995,554,1.0,1.0,0.96
1995,578,1.0,1.0,0.91
1995,616,,0.99,
1995,620,1.02,0.96,1.12
1995,642,,0.97,
1995,643,,0.99,
1995,703,,1.0,
1995,705,,0.98,
1995,724,0.96,0.98,1.14
1995,752,1.05,1.02,1.18
1995,756,1.02,0.99,0.87
1995,826,1.0,,1.0
1995,840,1.0,0.99,1.05
2005,8,0.96,0.97,0.9
2005,20,1.07,0.98,1.19
2005,36,,1.0,
2005,40,0.99,0.99,0.92
2005,53,1.0,1.0,0.95
2005,56,1.13,1.0,1.09
2005,70,,,1.03
2005,100,0.94,0.99,0.98
2005,112,0.94,0.94,
2005,124,0.98,0.99,0.97
2005,191,1.02,0.99,1.05
2005,196,1.01,1.0,1.05
2005,203,1.01,0.99,1.02
2005,208,1.02,1.0,1.05
2005,233,0.96,0.97,1.1
2005,246,1.0,0.99,1.08
2005,250,0.99,0.99,1.02
2005,268,0.97,0.98,0.97
2005,276,1.0,1.0,0.95
2005,308,0.98,1.0,1.13
2005,344,0.99,0.97,1.01
2005,348,0.98,0.98,1.0
2005,352,1.0,0.98,1.03
2005,356,0.87,,0.76
2005,372,1.04,1.0,1.13
2005,380,0.97,0.99,1.01
2005,410,1.01,1.0,1.0
2005,428,0.96,0.98,1.04
2005,438,0.99,1.02,0.77
2005,440,0.98,0.99,1.05
2005,442,1.04,1.0,1.08
2005,446,0.97,0.96,1.1
2005,470,1.02,0.98,0.81
2005,484,1.07,0.98,1.05
2005,498,1.0,0.99,1.14
2005,499,0.96,0.96,1.02
2005,528,0.96,0.97,1.01
2005,554,0.99,0.99,1.11
2005,578,1.01,1.0,1.02
2005,616,0.98,0.99,1.01
2005,620,1.03,0.96,1.16
2005,642,0.98,0.98,1.05
2005,643,1.0,1.0,0.96
2005,688,0.99,1.0,1.07
2005,703,0.99,0.99,1.03
2005,705,0.99,0.99,1.0
2005,724,1.0,0.99,1.15
2005,752,1.0,1.0,1.0
2005,756,1.02,1.0,0.87
2005,804,0.91,0.99,0.95
2005,826,0.99,1.0,1.03
2005,840,0.99,0.99,1.06
2010,8,0.98,0.99,0.88
2010,20,1.01,0.98,1.2
2010,36,,0.99,
2010,40,1.0,0.99,0.93
2010,53,0.95,1.0,0.92
2010,56,1.03,1.0,1.16
2010,70,0.99,1.01,1.03
2010,100,0.95,1.0,0.97
2010,112,0.98,0.98,0.92
2010,124,0.99,1.01,0.97
2010,156,1.03,1.0,1.0
2010,191,1.03,1.0,1.11
2010,196,1.0,1.0,1.02
2010,203,1.0,1.0,1.02
2010,208,1.02,1.0,1.0
2010,233,0.95,0.99,1.04
2010,246,1.0,0.99,1.09
2010,250,1.0,0.99,1.03
2010,268,0.97,0.97,
2010,276,0.99,1.0,0.89
2010,308,0.96,0.96,1.22
2010,344,0.97,0.99,1.02
2010,348,0.97,0.99,1.0
2010,352,0.99,1.0,1.04
2010,356,0.96,1.01,0.88
2010,372,1.02,1.0,1.1
2010,380,0.98,0.99,1.0
2010,410,1.0,1.0,1.0
2010,428,0.96,0.98,1.01
2010,438,1.0,0.94,0.7
2010,440,0.97,0.99,1.01
2010,442,1.02,1.01,1.04
2010,446,0.96,0.97,1.06
2010,470,0.97,0.99,0.76
2010,484,1.08,0.99,1.06
2010,498,0.99,1.0,1.1
2010,499,0.96,0.96,1.02
2010,528,0.95,0.99,1.03
2010,554,0.99,1.0,1.08
2010,578,1.0,1.0,0.98
2010,616,0.97,0.99,1.0
2010,620,0.98,0.97,1.08
2010,642,0.99,0.99,0.99
2010,674,0.96,1.11,1.07
2010,688,0.99,1.0,1.05
2010,703,0.99,1.0,1.03
2010,705,1.0,1.0,0.99
2010,724,0.99,0.99,1.08
2010,752,0.99,1.0,0.99
2010,756,1.03,1.0,0.93
2010,804,1.0,1.01,0.91
2010,826,0.96,0.99,1.04
2015,8,0.97,0.97,0.87
2015,20,0.94,0.98,1.09
2015,36,0.89,1.0,0.85
2015,40,1.0,0.99,0.94
2015,53,0.9,1.0,0.89
2015,56,1.06,1.0,1.15
2015,70,0.98,0.99,1.03
2015,100,0.96,0.99,0.98
2015,112,0.98,0.98,0.95
2015,124,0.99,0.99,1.02
2015,156,,1.01,1.07
2015,191,1.04,1.01,1.05
2015,196,0.99,1.0,0.99
2015,203,1.0,1.0,1.02
2015,208,1.0,0.99,1.06
2015,233,0.98,1.0,1.03
2015,246,1.0,0.99,1.13
2015,250,1.0,0.99,1.03
2015,268,0.96,0.97,1.01
2015,276,0.98,1.0,0.9
2015,308,0.91,0.95,1.11
2015,344,0.97,0.98,0.96
2015,348,0.99,1.0,1.02
2015,352,0.99,1.0,1.02
2015,356,1.04,1.02,0.95
2015,372,1.0,1.0,1.06
2015,380,0.97,1.0,1.0
2015,392,1.0,1.0,1.0
2015,410,0.99,1.0,1.0
2015,428,0.97,1.0,0.99
2015,438,0.92,0.98,0.66
2015,440,0.96,1.0,0.95
2015,442,1.01,1.0,1.06
2015,446,0.97,1.04,1.06
2015,470,0.99,1.03,1.09
2015,484,1.09,0.99,1.03
2015,498,1.0,0.99,1.04
2015,499,0.97,0.97,0.97
2015,528,0.96,0.99,1.06
2015,554,1.0,1.0,1.11
2015,578,1.01,1.0,0.94
2015,616,0.97,,0.97
2015,620,0.98,0.96,1.01
2015,642,0.88,0.88,0.91
2015,643,1.01,1.01,0.9
2015,674,1.0,1.04,0.98
2015,688,0.99,1.0,1.04
2015,703,0.99,1.0,1.04
2015,705,1.0,1.0,1.01
2015,724,0.97,1.01,1.04
2015,752,1.05,1.04,1.17
2015,756,1.0,1.0,0.95
2015,804,1.01,1.02,0.93
2015,826,0.97,1.0,1.07
2015,840,1.0,1.0,1.02
2020,8,0.94,0.95,0.92
2020,20,0.99,0.98,1.04
2020,36,0.97,1.0,0.98
2020,40,0.99,0.99,0.96
2020,53,0.97,1.0,1.0
2020,56,1.04,1.0,1.15
2020,70,0.98,0.99,1.03
2020,100,1.0,1.0,0.97
2020,112,0.98,0.98,0.93
2020,124,1.0,0.99,1.01
2020,156,,1.02,1.04
2020,191,1.06,1.0,1.05
2020,196,0.98,0.99,0.96
2020,203,1.0,1.0,1.02
2020,208,0.99,0.99,1.0
2020,233,0.99,0.99,1.09
2020,246,0.99,1.0,1.14
2020,250,1.0,0.99,1.01
2020,268,0.98,0.98,0.97
2020,276,0.98,1.0,0.86
2020,292,0.99,1.08,0.89
2020,344,0.97,0.98,0.93
2020,348,1.0,0.98,0.99
2020,352,1.0,1.0,0.95
2020,356,1.03,1.01,0.93
2020,372,1.03,1.0,1.14
2020,380,0.98,1.0,0.99
2020,392,1.0,1.0,1.0
2020,410,1.0,1.0,0.99
2020,428,0.99,1.0,1.02
2020,438,0.97,0.97,0.76
2020,440,0.98,1.0,0.96
2020,442,0.96,1.0,1.06
2020,446,1.01,1.02,1.05
2020,470,0.98,0.99,1.06
2020,484,1.1,1.0,1.08
2020,498,0.98,0.98,1.03
2020,499,0.98,0.99,1.0
2020,528,0.95,0.99,1.06
2020,554,1.0,1.0,1.11
2020,578,1.02,1.0,0.91
2020,616,1.0,0.97,0.99
2020,620,0.97,0.98,1.03
2020,642,0.88,0.89,0.91
2020,643,0.94,0.99,1.14
2020,674,1.0,0.98,0.81
2020,688,1.0,1.0,1.03
2020,703,1.0,1.0,1.05
2020,705,1.0,1.0,1.03
2020,724,0.99,1.01,1.07
2020,752,1.04,1.05,1.13
2020,756,1.01,1.0,0.93
2020,804,1.02,1.01,0.98
2020,826,1.0,1.0,1.06
2020,840,0.98,1.0,0.98
2021,8,0.93,0.94,0.93
2021,20,1.0,0.98,1.03
2021,36,0.97,1.0,0.97
2021,40,0.99,0.99,0.96
2021,53,0.98,1.0,0.99
2021,56,1.03,1.0,1.13
2021,70,0.98,1.0,1.04
2021,100,0.99,1.0,0.96
2021,112,0.99,0.99,0.93
2021,124,0.99,0.99,1.0
2021,156,,1.02,1.03
2021,191,1.05,1.0,1.06
2021,196,0.99,1.0,0.97
2021,203,1.0,1.0,1.02
2021,208,0.99,0.99,0.99
2021,233,0.99,1.0,1.08
2021,246,0.99,1.0,1.16
2021,250,1.0,0.99,1.0
2021,268,0.97,0.99,0.97
2021,276,0.98,1.0,0.87
2021,292,0.92,1.05,0.95
2021,308,,0.93,1.03
2021,344,0.97,0.97,0.93
2021,348,0.99,0.99,1.0
2021,352,1.0,1.0,0.94
2021,356,1.02,1.0,0.89
2021,372,1.02,1.01,1.15
2021,380,0.98,0.99,0.99
2021,392,1.0,1.0,1.01
2021,410,1.0,1.0,0.99
2021,428,1.0,1.0,1.03
2021,438,0.97,0.98,0.75
2021,440,0.99,1.0,0.95
2021,442,0.94,1.0,1.08
2021,446,1.0,1.02,1.02
2021,470,0.98,0.99,1.03
2021,484,1.11,1.0,1.1
2021,498,0.99,0.99,1.0
2021,499,0.98,1.0,1.0
2021,528,0.95,0.99,1.06
2021,554,1.0,1.0,1.1
2021,578,1.03,1.0,0.92
2021,616,0.99,0.99,0.99
2021,620,0.97,0.99,1.04
2021,642,0.98,0.99,1.03
2021,643,0.95,0.99,1.12
2021,674,1.08,0.99,0.74
2021,688,1.0,1.0,1.03
2021,703,0.99,1.0,1.05
2021,705,1.0,1.0,1.01
2021,724,1.0,1.0,1.07
2021,752,1.05,1.06,1.15
2021,756,1.0,1.0,0.94
2021,804,1.02,1.01,0.98
2021,826,0.99,1.0,1.07
2021,840,1.0,0.99,1.01
2022,8,0.93,0.94,0.9
2022,20,0.97,1.0,1.04
2022,36,0.97,1.0,0.95
2022,40,0.99,0.99,0.97
2022,53,0.97,1.0,0.99
2022,70,0.98,0.99,1.04
2022,112,0.97,0.96,0.94
2022,156,,1.02,1.03
2022,208,1.0,0.99,0.98
2022,233,0.99,1.0,1.08
2022,246,0.99,1.0,1.16
2022,250,1.0,1.0,1.01
2022,268,0.97,1.0,0.96
2022,292,0.96,1.03,0.86
2022,344,0.98,0.98,0.97
2022,356,1.02,1.0,0.95
2022,410,1.0,1.0,0.99
2022,428,0.99,1.0,1.02
2022,446,0.94,1.05,1.04
2022,470,0.98,1.0,1.03
2022,484,1.12,1.0,1.13
2022,498,0.99,0.99,1.01
2022,499,0.98,1.0,1.03
2022,616,0.98,1.0,0.98
2022,643,0.95,1.0,1.11
2022,674,0.99,1.03,0.81
2022,688,1.0,1.01,1.05
2022,703,0.99,1.0,1.04
2022,705,1.01,0.99,1.02
2022,752,1.05,1.06,1.17
2022,756,1.0,1.0,0.94
2022,826,1.0,1.0,1.06
2022,840,1.0,1.0,1.05
